name,Capital,latitude,langitude,Borders,,,,,,,
Alabama,Montgomery,32.377716,86.300568,Mississippi,Tennessee,Florida,Georgia,,,,
Alaska,Juneau,58.301598,134.420212,,,,,,,,
Arizona,Phoenix,33.448143,112.096962,Nevada,New Mexico,Utah,California,Colorado,,,
Arkansas,Little Rock,34.746613,92.288986,Oklahoma,Tennessee,Texas,Louisiana,Mississippi,Missouri,,
California,Sacramento,38.576668,121.493629,Oregon,Arizona,Nevada,,,,,
Colorado,Denver,39.739227,104.984856,New Mexico,Oklahoma,Utah,Wyoming,Arizona,Kansas,Nebraska,
Connecticut,Hartford,41.764046,72.682198,New York,Rhode Island,Massachusetts,,,,,
Delaware,Dover,39.157307,75.519722,New Jersey,Pennsylvania,Maryland,,,,,
Hawaii,Honolulu,21.307442,157.857376,Georgia,Alabama,,,,,,
Florida,Tallahassee,30.438118,84.281296,North Carolina,South Carolina,Tennessee,Alabama,Florida ,,,
Georgia,Atlanta,33.749027,84.388229,,,,,,,,
Idaho,Boise,43.617775,116.199722,Utah,Washington,Wyoming,Montana,Nevada,Oregon,,
Illinois,Springfield,39.798363,89.654961,Kentucky,Missouri,Wisconsin,Indiana,Iowa,Michigan,,
Indiana,Indianapolis,39.768623,86.162643,Michigan,Ohio,Illinois,Kentucky,,,,
Iowa,Des Moines,41.591087,93.603729,Nebraska,South Dakota,Wisconsin,Illinois,Minnesota,Missouri,,
Kansas,Topeka,39.048191,95.677956,Nebraska,Oklahoma,Colorado,Missouri ,,,,
Kentucky,Frankfort,38.186722,84.875374,Tennessee,Virginia,West Virginia,Illinois,Indiana,Missouri,Ohio,
Louisiana,Baton Rouge,30.457069,91.187393,Texas,Arkansas,Mississippi,,,,,
Maine,Augusta,44.307167,69.781693,New Hampshire,,,,,,,
Maryland,Annapolis,38.978764,76.490936,Virginia,West Virginia,Delaware,Pennsylvania,,,,
Massachusetts,Boston,42.358162,71.063698,New York,Rhode Island,Vermont,Connecticut,New Hampshire,,,
Michigan,Lansing,42.733635,84.555328,Ohio,Wisconsin,Illinois,Indiana,Minnesota,,,
Minnesota,St. Paul,44.955097,93.102211,North Dakota,South Dakota,Wisconsin,Iowa,Michigan,,,
Mississippi,Jackson,32.303848,90.182106,Louisiana,Tennessee,Alabama,Arkansas,,,,
Missouri,Jefferson City,38.579201,92.172935,Nebraska,Oklahoma,Tennessee,Arkansas,Illinois,Iowa,Kansas,Kentucky
Montana,Helena,46.585709,112.018417,South Dakota,Wyoming,Idaho,North Dakota,,,,
Nebraska,Lincoln,40.808075,96.699654,Missouri,South Dakota,Wyoming,Colorado,Iowa,Kansas,,
Nevada,Carson City,39.163914,119.766121,Idaho,Oregon,Utah,Arizona,California,,,
New Hampshire,Concord,43.206898,71.537994,Vermont,Maine,Massachusetts,,,,,
New Jersey,Trenton,40.220596,74.769913,Pennsylvania,Delaware,New York,,,,,
New Mexico,Santa Fe,35.68224,105.939728,Oklahoma,Texas,Utah,Arizona,Colorado,,,
North Carolina,Raleigh,35.78043,78.639099,Pennsylvania,Rhode Island,Vermont,Connecticut,Massachusetts,New Jersey,,
North Dakota,Bismarck,46.82085,100.783318,Tennessee,Virginia,Georgia,South Carolina,,,,
New York,Albany,42.652843,73.757874,South Dakota,Minnesota,Montana,,,,,
Ohio,Columbus,39.961346,82.999069,Michigan,Pennsylvania,West Virginia,Indiana,Kentucky,,,
Oklahoma,Oklahoma City,35.492207,97.503342,Missouri,New Mexico,Texas,Arkansas,Colorado,Kansas,,
Oregon,Salem,44.938461,123.030403,Nevada,Washington,California,Idaho,,,,
Pennsylvania,Harrisburg,40.264378,76.883598,New York,Ohio,West Virginia,Delaware,Maryland,New Jersey,,
Rhode Island,Providence,41.830914,71.414963,Massachusetts,New York,Connecticut,,,,,
South Carolina,Columbia,34.000343,81.033211,North Carolina,Georgia,,,,,,
South Dakota,Pierre,44.367031,100.346405,Nebraska,North Dakota,Wyoming,Iowa,Minnesota,Montana,,
Tennessee,Nashville,36.16581,86.784241,Mississippi,Missouri,North Carolina,Virginia,Alabama,Arkansas,Georgia,Kentucky
Texas,Austin,30.27467,97.740349,New Mexico,Oklahoma,Arkansas,Louisiana,,,,
Utah,Salt Lake City,40.777477,111.888237,Nevada,New Mexico,Wyoming,Arizona,Colorado,Idaho,,
Vermont,Montpelier,44.262436,72.580536,New Hampshire,New York,Massachusetts,,,,,
Virginia,Richmond,37.538857,77.43364,North Carolina,Tennessee,West Virginia,Kentucky,Maryland,,,
Washington,Olympia,47.035805,122.905014,Oregon,Idaho,,,,,,
West Virginia,Charleston,38.336246,81.612328,Pennsylvania,Virginia,Kentucky,Maryland,Ohio,,,
Wisconsin,Madison,43.074684,89.384445,Michigan,Minnesota,Illinois,Iowa,,,,
Wyoming,Cheyenne,41.140259,104.820236,Nebraska,South Dakota,Utah,Colorado,Idaho,Montana,,